"rgn_id","species_code","year","tonnes"
2,793,2011,0
4,793,2011,0
3,793,2011,0
1,793,2011,0
2,793,2012,0
4,793,2012,0
3,793,2012,0
1,793,2012,0
2,794,2003,623
4,794,2003,623
3,794,2003,623
1,794,2003,623
2,794,2004,640
4,794,2004,640
3,794,2004,640
1,794,2004,640
2,794,2005,472
4,794,2005,472
3,794,2005,472
1,794,2005,472
2,794,2006,542
4,794,2006,542
3,794,2006,542
1,794,2006,542
2,794,2007,466
4,794,2007,466
3,794,2007,466
1,794,2007,466
2,794,2008,737
4,794,2008,737
3,794,2008,737
1,794,2008,737
2,794,2009,682
4,794,2009,682
3,794,2009,682
1,794,2009,682
2,794,2010,700
4,794,2010,700
3,794,2010,700
1,794,2010,700
2,794,2011,0
4,794,2011,0
3,794,2011,0
1,794,2011,0
2,794,2012,0
4,794,2012,0
3,794,2012,0
1,794,2012,0
2,795,2003,0
4,795,2003,0
3,795,2003,0
1,795,2003,0
2,795,2004,0
4,795,2004,0
3,795,2004,0
1,795,2004,0
2,795,2005,0
4,795,2005,0
3,795,2005,0
1,795,2005,0
2,795,2006,0
4,795,2006,0
3,795,2006,0
1,795,2006,0
2,795,2007,0
4,795,2007,0
3,795,2007,0
1,795,2007,0
2,795,2008,0
4,795,2008,0
3,795,2008,0
1,795,2008,0
2,795,2009,0
4,795,2009,0
3,795,2009,0
1,795,2009,0
2,795,2010,0
4,795,2010,0
3,795,2010,0
1,795,2010,0
2,795,2011,0
4,795,2011,0
3,795,2011,0
1,795,2011,0
2,795,2012,0
4,795,2012,0
3,795,2012,0
1,795,2012,0
2,796,2003,255
4,796,2003,255
3,796,2003,255
1,796,2003,255
2,796,2004,220
4,796,2004,220
3,796,2004,220
1,796,2004,220
2,796,2005,250
4,796,2005,250
3,796,2005,250
1,796,2005,250
2,796,2006,280
4,796,2006,280
3,796,2006,280
1,796,2006,280
2,796,2007,158
4,796,2007,158
3,796,2007,158
1,796,2007,158
2,796,2008,227
4,796,2008,227
3,796,2008,227
1,796,2008,227
2,796,2009,224
4,796,2009,224
