"rgn_id","product","year","tonnes"
1,"fish_oil",1995,111.79473231491
2,"fish_oil",1996,227.038050589219
4,"fish_oil",1996,151.465814872415
3,"fish_oil",1996,86.4033869082048
1,"fish_oil",1996,337.592747630162
2,"fish_oil",1997,206.314639741044
4,"fish_oil",1997,137.640430524247
3,"fish_oil",1997,78.5167226203219
1,"fish_oil",1997,306.778207114387
2,"fish_oil",1998,542.345100286022
4,"fish_oil",1998,361.819273657843
3,"fish_oil",1998,206.399118633057
1,"fish_oil",1998,806.436507423078
2,"fish_oil",1999,523.106985095907
4,"fish_oil",1999,348.984787163981
3,"fish_oil",1999,199.077710147378
1,"fish_oil",1999,777.830517592734
2,"fish_oil",2000,423.167805817849
4,"fish_oil",2000,282.311517252852
3,"fish_oil",2000,161.04406974199
1,"fish_oil",2000,629.226607187308
