"rgn_id","product","year","usd_rel"
1,"fish_oil",1998,0.191268669254645
2,"fish_oil",1999,0.174467445418129
4,"fish_oil",1999,0.174467445418129
3,"fish_oil",1999,0.174467445418129
1,"fish_oil",1999,0.174467445418129
2,"fish_oil",2000,0.0966512508069009
4,"fish_oil",2000,0.0966512508069009
3,"fish_oil",2000,0.0966512508069009
1,"fish_oil",2000,0.0966512508069009
2,"fish_oil",2001,0.140069150300211
4,"fish_oil",2001,0.140069150300211
3,"fish_oil",2001,0.140069150300211
1,"fish_oil",2001,0.140069150300211
2,"fish_oil",2002,0.153686984357176
4,"fish_oil",2002,0.153686984357176
3,"fish_oil",2002,0.153686984357176
1,"fish_oil",2002,0.153686984357176
2,"fish_oil",2003,0.210545862919699
4,"fish_oil",2003,0.210545862919699
